# 青空文庫に出現する外字注記とUCSの対応一覧
# 
# ※ 括弧が対応していない等、極端に間違えているものは除外した。
# ※ 注記辞書にない注記でも、「／・＋」等を間違えている程度のものは採集して記載した。
# ※ 「－・-」は「－」に、「+」は「＋」に、「<」は「＜」に統一した。
# ※［…］の前後の「」の括弧の抜けは補完した。
# ※ IVSで表記可能なものは、Adobe-Japan1 を優先し、無いものに限り汎用電子も使用した。
# ※ 注記辞書の記法から逸れている表記には念のため「標準注記外」とコメントに付記した。
################################
# AozoraEpub3 Modified
#
# http://kanji-database.sourceforge.net/aozora/gaiji.html
# https://github.com/cjkvi/cjkvi-data/blob/master/aozora_gaiji_chuki.txt
# 上記から取得後以下の変換を行った
# 注記内 － を － に変換
# ・IVS文字は chuki_ivs.txt に移動
# ・2文字以上は濁点半濁点以外コメントアウト
# ・※で始まらない物はコメントアウトまたは読み込み時に除外
################################

#UCS	IVS	char	青空文庫記法	→コメント
U+076F9		盹	※［＃「目＋屯」］
U+076FC		盼	※［＃「目＋扮のつくり」、第3水準1-88-77］
U+076FD		盽	※［＃「目＋蚌のつくり」］
U+07700		眀	※［＃「目＋月」］
U+07706		眆	※［＃「目＋方」］
U+0770A		眊	※［＃「目＋毛」、第3水準1-88-78］
U+25122		𥄢	※［＃「目＋木」、第4水準2-81-90］
U+25128		𥄨	※［＃「目＋丑」］
U+0770E		眎	※［＃「目＋示」］
U+07712		眒	※［＃「目＋申」］
U+07714		眔	※［＃「罘」の「不」に代えて「碌のつくり－彑」］
U+07715		眕	※［＃「目＋珍のつくり」］
U+07717		眗	※［＃「目＋句」、第4水準2-81-91］
U+07719		眙	※［＃「目＋台」、第3水準1-88-79］
U+0771A		眚	※［＃「生／目」、第4水準2-81-92］
U+0771C		眜	※［＃「目＋末」］
U+07722		眢	※［＃「怨」の「心」に代えて「目」］
U+07725		眥	※［＃「此／目」］	→［包摂適用　眥］
U+07728		眨	※［＃「目＋乏」］
U+0772D		眭	※［＃「目＋圭」、第4水準2-81-93］
U+0772E		眮	※［＃「目＋同」］
U+0772F		眯	※［＃「目＋米」］
U+07733		眳	※［＃「目＋名」］
U+07734		眴	※［＃「目＋旬」、第3水準1-88-80］
U+07735		眵	※［＃「目＋多」、第4水準2-81-94］
U+07736		眶	※［＃「目＋匡」、第3水準1-88-81］
U+07739		眹	※［＃「目＋（鎹のつくり－しんにょう）」］
U+0773D		眽	※［＃「目＋派のつくり」］
U+0773E		眾	※［＃「罘」の「不」に代えて「人＋にんべん＋人」］
U+07741		睁	※［＃「目＋争」］
##注記間違い？##U+04039		䀹	※［＃「目＋來」、第4水準2-82-2］
U+07742		睂	※［＃「（（凵＜（谷－口））－左の縦棒）／（丿＋目）」］
U+07745		睅	※［＃「目＋旱」］
U+07746		睆	※［＃「目＋完」、第3水準1-88-82］
U+0774A		睊	※［＃「目＋絹のつくり」］
U+0774C		睌	※［＃「目＋免」］
U+0774D		睍	※［＃「目＋見」、第3水準1-88-83］
U+0774E		睎	※［＃「目＋希」、第3水準1-88-84］
U+0774F		睏	※［＃「目＋困」］
U+251A9		𥆩	※［＃「目＋児」、第4水準2-82-1］
U+07752		睒	※［＃「目＋炎」］
U+07756		睖	※［＃「目＋陵のつくり」］
U+07757		睗	※［＃「目＋易」］
U+07758		睘	※［＃「鐶のつくり」、第4水準2-82-5］
U+0775C		睜	※［＃「目＋爭」、第3水準1-88-85］
U+0775E		睞	※［＃「目＋來」］
U+0775F		睟	※［＃「目＋卒」、第3水準1-88-86］
U+07760		睠	※［＃「目＋卷」、第4水準2-82-6］
U+07762		睢	※［＃「目＋隹」、第3水準1-88-87］
U+07764		睤	※［＃「目＋（鼾－干－自）」］
U+07767		睧	※［＃「目＋昏」］
U+07769		睩	※［＃「目＋碌のつくり」］
U+0776A		睪	※［＃「睾－丿」、第4水準2-82-7］
U+0776C		睬	※［＃「目＋綵のつくり」］
U+251CD		𥇍	※［＃「目＋卓」、第4水準2-82-4］
U+251E5		𥇥	※［＃「目＋検のつくり」、第4水準2-82-3］
U+07770		睰	※［＃「目＋若」］
U+07772		睲	※［＃「目＋星」、第4水準2-82-9］
U+07773		睳	※［＃「目＋奎」］
U+07774		睴	※［＃「目＋軍」］
U+0777A		睺	※［＃「目＋侯」、第3水準1-88-88］
U+0777C		睼	※［＃「目＋是」、第4水準2-82-10］
U+0777D		睽	※［＃「目＋癸」、第4水準2-82-11］
U+07780		瞀	※［＃「鶩」の「鳥」に代えて「目」、第3水準1-88-89］
U+07784		瞄	※［＃「目＋苗」］
U+2521E		𥈞	※［＃「目＋満のつくり」、第4水準2-82-8］
U+04058		䁘	※［＃「目＋搖のつくり」、第4水準2-82-13］
U+0778C		瞌	※［＃「目＋盍」］
U+0778D		瞍	※［＃「目＋嫂のつくり」］
U+2523D		𥈽	※［＃「塞」の「土」に代えて「目」］
U+2524C		𥉌	※［＃「目＋荅」、第4水準2-82-12］
U+07794		瞔	※［＃「目＋責」、第3水準1-88-90］
U+07795		瞕	※［＃「目＋章」］
U+07796		瞖	※［＃「醫」の「酉」に代えて「目」］
U+0779A		瞚	※［＃「目＋寅」、第4水準2-82-14］
U+0779F		瞟	※［＃「目＋票」、第4水準2-82-15］
U+077A2		瞢	※［＃「夢」の「夕」に代えて「目」、第4水準2-82-16］
U+077A4		瞤	※［＃「目＋閏」、第4水準2-82-17］
U+077A7		瞧	※［＃「目＋焦」］
U+077A9		瞩	※［＃「目＋属」、第4水準2-82-18］
U+077AA		瞪	※［＃「目＋登」、第3水準1-88-91］
U+077AE		瞮	※［＃「轍」の「車」に代えて「目」］
U+077AF		瞯	※［＃「目＋燗のつくり」］
U+077B1		瞱	※［＃「目＋華」］
U+077B5		瞵	※［＃「目＋隣のつくり」］
U+077BE		瞾	※［＃「瞿」の「隹」に代えて「空」］
U+077C3		矃	※［＃「目＋濘のつくり」］
U+077C9		矉	※［＃「目＋嬪のつくり」］
U+0407C		䁼	※［＃「目＋（黒の旧字／土）」］
U+077D1		矑	※［＃「目＋盧」］
U+077D2		矒	※［＃「目＋夢の夕に代えて目」］
U+077D2		矒	※［＃「目＋（離れたくさかんむり／（罘－不）／冖／目）」］
U+077D5		矕	※［＃「戀」の「心」に代えて「目」］
U+077D9		矙	※［＃「目＋（門＜敢）」］
U+077DE		矞	※［＃「橘のつくり」、第4水準2-82-19］
U+077DF		矟	※［＃「矛＋悄のつくり」、第4水準2-82-20］
U+077E0		矠	※［＃「矛＋昔」、第3水準1-88-92］
U+0408E		䂎	※［＃「矛＋贊」］
U+077E4		矤	※［＃「弓＋矢」、第4水準2-82-21］
U+077E6		矦	※［＃「危」の「犯のつくり」に代えて「矢」、第4水準2-82-22］
U+077EA		矪	※［＃「知」の「口」に代えて「舟」、第4水準2-82-23］
U+04093		䂓	※［＃「知」の「口」に代えて「見」、第4水準2-82-25］
U+077EC		矬	※［＃「知」の「口」に代えて「坐」、第4水準2-82-24］
U+077F0		矰	※［＃「知」の「口」に代えて「曾」、第4水準2-82-26］
U+077F1		矱	※［＃「知」の「口」に代えて「護のつくり」］
U+077F4		矴	※［＃「石＋丁」、第4水準2-82-27］
U+077F8		矸	※［＃「石＋干」］
U+077FB		矻	※［＃「石＋乞」、第4水準2-82-28］
U+07805		砅	※［＃「石＋水」、第4水準2-82-30］
U+07806		砆	※［＃「石＋夫」、第4水準2-82-31］
U+07809		砉	※［＃「（挈－刀－手）／石」、第4水準2-82-32］
U+0780D		砍	※［＃「石＋欠」、第4水準2-82-33］
U+0780E		砎	※［＃「石＋介」］
U+07811		砑	※［＃「石＋冴のつくり」］
U+07819		砙	※［＃「石＋瓦」、第4水準2-82-34］
U+2542E		𥐮	※［＃「石＋尺」、第4水準2-82-29］
U+0781D		砝	※［＃「石＋去」］
U+07821		砡	※［＃「石＋玉」、第4水準2-82-35］
U+07822		砢	※［＃「石＋可」］
U+07823		砣	※［＃「石＋它」］
U+0782C		砬	※［＃「石＋立」、第4水準2-82-36］
U+0782D		砭	※［＃「石＋乏」、第3水準1-88-93］
U+0782E		砮	※［＃「奴／石」］
U+07830		砰	※［＃「石＋怦のつくり」］
U+07835		砵	※［＃「石＋本」］
U+07837		砷	※［＃「石＋申」］
U+07843		硃	※［＃「石＋朱」、第3水準1-89-1］
U+07844		硄	※［＃「石＋光」］
U+07847		硇	※［＃「石＋（貔のつくり－比）」、第4水準2-82-37］
U+07848		硈	※［＃「石＋吉」］
U+0784C		硌	※［＃「石＋各」］
U+0784E		硎	※［＃「石＋刑」、第3水準1-89-2］
U+0784F		硏	※［＃「石＋幵」、第3水準1-89-3］	→［包摂適用　研］96
U+07851		硑	※［＃「石＋并」、第3水準1-89-4］
U+07852		硒	※［＃「石＋西」］
U+2548E		𥒎	※［＃「石＋銭のつくり」、第3水準1-88-94］
U+0785C		硜	※［＃「石＋徑のつくり」］
U+0785C		硜	※［＃「石＋脛のつくり」］
U+0785E		硞	※［＃「石＋晧のつくり」］
U+07860		硠	※［＃「石＋良」］
U+07861		硡	※［＃「石＋宏」］
U+07863		硣	※［＃「石＋孝」］
U+07864		硤	※［＃「石＋夾」、第4水準2-82-38］
U+07868		硨	※［＃「石＋車」、第3水準1-89-5］
U+0786A		硪	※［＃「石＋我」、第4水準2-82-39］
U+0786E		确	※［＃「石＋角」、第3水準1-89-6］
U+0787A		硺	※［＃「石＋（冢－冖）」］
U+0788A		碊	※［＃「石＋戔」、第4水準2-82-41］
U+0788F		碏	※［＃「石＋昔」］
U+07894		碔	※［＃「石＋武」、第4水準2-82-42］
U+07898		碘	※［＃「石＋典」］
U+078B0		碰	※［＃「石＋（朔のへん－屮）／（墟のつくり－虍）」、第3水準1-89-8］
U+254D9		𥓙	※［＃「林／石」、第4水準2-82-40］
U+0787E		硾	※［＃「石＋垂」］
U+0789D		碝	※［＃「石＋（而／大）」、第4水準2-82-44］
U+0789E		碞	※［＃「品／石）」、第4水準2-82-45］
U+0789F		碟	※［＃「石＋喋のつくり」、第4水準2-82-46］
U+078A1		碡	※［＃「石＋毒」］
U+078A4		碤	※［＃「石＋英」、第4水準2-82-43］
U+078A8		碨	※［＃「石＋畏」］
U+078AC		碬	※［＃「石＋（暇－日）」］
U+078AD		碭	※［＃「石＋昜」、第3水準1-89-10］
U+078B1		碱	※［＃「石＋咸」］
U+078B2		碲	※［＃「石＋帝」］
U+078B3		碳	※［＃「石＋炭」］
U+2550E		𥔎	※［＃「石＋（嵜－山）」、第3水準1-89-9］
U+078BB		碻	※［＃「石＋高」、第4水準2-82-47］
U+078BD		碽	※［＃「石＋貢」］
U+078BF		碿	※［＃「石＋（尸＋悄のつくり）」］
U+078C4		磄	※［＃「石＋溏のつくり」］
U+078C7		磇	※［＃「石＋貔のつくり」］
U+078C8		磈	※［＃「石＋鬼」、第4水準2-82-48］
U+078C9		磉	※［＃「石＋桑」］
U+078CC		磌	※［＃「石＋眞」、第4水準2-82-49］
U+078CE		磎	※［＃「石＋奚」、第4水準2-82-50］
U+078D2		磒	※［＃「石＋員」］
U+078D3		磓	※［＃「石＋二点しんにょうの追」］
U+078D5		磕	※［＃「石＋盍」、第4水準2-82-51］
U+078D6		磖	※［＃「石＋褶のつくり」］
U+078E4		磤	※［＃「石＋殷」、第3水準1-89-11］
U+078DB		磛	※［＃「斬／石」］
U+078DF		磟	※［＃「石＋膠のつくり」］
U+078E0		磠	※［＃「石＋鹵」、第4水準2-82-52］
U+078E1		磡	※［＃「石＋勘」、第4水準2-82-53］
U+078E6		磦	※［＃「石＋票」、第4水準2-82-54］
U+078EA		磪	※［＃「石＋崔」］
U+25550		𥕐	※［＃「石＋滴のつくり」］
U+078F2		磲	※［＃「石＋渠」、第3水準1-89-12］
U+078F3		磳	※［＃「石＋曾」］
U+078F6		磶	※［＃「石＋潟のつくり」］
U+078F7		磷	※［＃「石＋隣のつくり」、第3水準1-89-14］
U+078F9		磹	※［＃「石＋譚のつくり」、第4水準2-82-55］
U+078FA		磺	※［＃「石＋（廣－广）」、第4水準2-82-56］
U+078FB		磻	※［＃「石＋番」、第4水準2-82-57］
U+078FE		磾	※［＃「石＋單」、第4水準2-82-58］
U+078FF		磿	※［＃「櫪のつくり」の「止」に代えて「石」］
U+07900		礀	※［＃「石＋燗のつくり」、第3水準1-89-13］
U+07906		礆	※［＃「石＋僉」］
U+07909		礉	※［＃「激」の「さんずい」に代えて「石」］
U+0790C		礌	※［＃「石＋雷」］
U+07910		礐	※［＃「學」の「子」に代えて「石」、第4水準2-82-60］
U+255A7		𥖧	※［＃「石＋化のつくり＋鳥」、第4水準2-82-59］
U+0791A		礚	※［＃「石＋蓋」］
U+0791B		礛	※［＃「石＋監」、第4水準2-82-61］
U+0791C		礜	※［＃「譽」の「言」に代えて「石」、第3水準1-89-15］
U+0791E		礞	※［＃「石＋蒙」］
U+0791F		礟	※［＃「石＋（馬＋爻）」］
U+07920		礠	※［＃「石＋（茲／心）」］
U+07925		礥	※［＃「石＋賢」、第4水準2-82-63］
U+07927		礧	※［＃「石＋儡のつくり」］
U+07929		礩	※［＃「石＋質」］
U+0792D		礭	※［＃「石＋霍」］
U+0792E		礮	※［＃「石＋駮」、第3水準1-89-16］
U+07930		礰	※［＃「石＋櫪のつくり」、第4水準2-82-62］
U+07931		礱	※［＃「龍／石」、第3水準1-89-17］
U+07932		礲	※［＃「石＋龍」］
U+07934		礴	※［＃「石＋（くさかんむり／溥）」、第3水準1-89-18］
U+07935		礵	※［＃「石＋霜」］
U+0793B		礻	※［＃「社のへん」、第4水準2-82-64］
U+0793D		礽	※［＃「示＋乃」］
U+0793F		礿	※［＃「示＋（勹＜一）」］
U+07944		祄	※［＃「示＋介」］
U+07945		祅	※［＃「示＋夭」、第3水準1-89-21］
U+07946		祆	※［＃「示＋天」、第3水準1-89-22］
##IVS##U+07947		祇	※［＃「示＋氏」］	→［包摂適用　祇］
U+0794A		祊	※［＃「示＋方」、第4水準2-82-65］
U+0794B		祋	※［＃「示＋殳」］
U+0794F		祏	※［＃「示＋石」］
U+07951		祑	※［＃「示＋失」］
U+07954		祔	※［＃「示＋付」］
U+07958		祘	※［＃「示＋示」、第4水準2-82-66］
U+0795B		祛	※［＃「示＋去」、第4水準2-82-67］
U+0795C		祜	※［＃「示＋古」、第3水準1-89-26］
U+04105		䄅	※［＃「券」の「刀」に代えて「示」、第4水準2-82-68］
U+07965		祥	※［＃「示＋羊」、第3水準1-89-29］	→［包摂適用　祥］161
U+07967		祧	※［＃「示＋兆」、第4水準2-82-69］
U+07969		祩	※［＃「示＋朱」］
U+0796B		祫	※［＃「示＋合」］
U+04109		䄉	※［＃「しめすへん＋我」］
U+07971		祱	※［＃「しめすへん＋税のつくり」］
U+07972		祲	※［＃「示＋駸のつくり」、第4水準2-82-70］
U+07979		祹	※［＃「示＋淘のつくり」、第3水準1-89-30］
U+0797B		祻	※［＃「示＋固」］
U+0797C		祼	※［＃「示＋果」］
U+0797E		祾	※［＃「示＋陵のつくり」］
U+0798B		禋	※［＃「示＋煙のつくり」］
U+0798B		禋	※［＃「示＋（西／土）」］
U+0798C		禌	※［＃「示＋滋のつくり」］
U+07991		禑	※［＃「しめすへん＋禺」］	→標準注記外
U+07991		禑	※［＃「示＋禺」］
U+07993		禓	※［＃「示＋昜」］
U+07994		禔	※［＃「示＋是」、第4水準2-82-71］
U+07995		禕	※［＃「示＋韋」、第4水準2-82-72］
U+07996		禖	※［＃「示＋某」、第4水準2-82-73］
U+07998		禘	※［＃「示＋帝」、第3水準1-89-34］
U+0799B		禛	※［＃「示＋眞」、第4水準2-82-74］
U+0799C		禜	※［＃「螢」の「虫」に代えて「示」］
U+079A1		禡	※［＃「示＋馬」、第4水準2-82-75］
U+079A8		禨	※［＃「示＋饑のつくり」］
U+079A9		禩	※［＃「示＋異」、第4水準2-82-76］
U+079AB		禫	※［＃「示＋覃」］
U+079AF		禯	※［＃「示＋農」］
U+079B1		禱	※［＃「示＋壽」、第3水準1-89-35］	→［78互換包摂祷］
U+079B4		禴	※［＃「示＋龠」、第4水準2-82-77］
U+079B8		禸	※［＃「ぐうのあし」、第3水準1-89-36］
U+079BB		离	※［＃「璃のつくり」、第4水準2-82-78］
U+079BC		禼	※［＃「占／ぐうのあし」の「口」の中に「希－布」］
U+2573D		𥜽	※［＃「占のあたま／（冂＜メ）／禽のあし」］	→［包摂適用　禼］
U+079C2		秂	※［＃「禾／人」、第4水準2-82-79］
U+079C3		秃	※［＃「禾／几」］
U+079C4		秄	※［＃「禾＋子」］
U+079C7		秇	※［＃「禾＋丸」、第4水準2-82-80］
U+079C8		秈	※［＃「禾＋山」、第3水準1-89-37］
U+079CA		秊	※［＃「禾／千」、第3水準1-89-38］
U+079CC		秌	※［＃「火＋禾」、第4水準2-82-81］
U+079CD		种	※［＃「禾＋中」、第4水準2-82-82］
U+079CF		秏	※［＃「禾＋毛」］
U+079D4		秔	※［＃「禾＋亢」、第3水準1-89-40］
U+079D6		秖	※［＃「禾＋氏」、第4水準2-82-83］
U+25771		𥝱	※［＃「禾＋予」、第3水準1-89-39］
U+079DA		秚	※［＃「禾＋絆のつくり」］
U+079DD		秝	※［＃「禾＋禾」］
U+079DE		秞	※［＃「禾＋由」、第3水準1-89-41］
U+079E0		秠	※［＃「禾＋丕」］
U+079E2		秢	※［＃「禾＋令」］
U+079E5		秥	※［＃「禾＋占」］
U+079EA		秪	※［＃「禾＋低のつくり」］
U+079EA		秪	※［＃「禾＋砥のつくり」］
U+079EB		秫	※［＃「禾＋朮」、第3水準1-89-42］
U+079ED		秭	※［＃「禾＋（「第－竹」の「コ」に代えて「ノ」）」、第3水準1-89-43］
U+04148		䅈	※［＃「券」の「刀」に代えて「禾」、第4水準2-82-84］
U+079F1		秱	※［＃「禾＋同」］
U+079F8		秸	※［＃「禾＋吉」］
U+079FC		秼	※［＃「禾＋朱」］
U+257A9		𥞩	※［＃「禾＋并」、第4水準2-82-85］
U+0414F		䅏	※［＃「禾＋尾」、第4水準2-82-87］
U+07A02		稂	※［＃「禾＋良」］
U+07A03		稃	※［＃「禾＋孚」、第3水準1-89-44］
U+07A05		稅	※［＃「禾＋兌」］	→［包摂適用　税］15
U+07A07		稇	※［＃「禾＋困」］
U+07A09		稉	※［＃「禾＋哽のつくり」］
U+07A0A		稊	※［＃「禾＋弟」、第4水準2-82-88］
U+07A0C		稌	※［＃「禾＋余」］
U+257B4		𥞴	※［＃「禾＋告」、第4水準2-82-86］
U+07A11		稑	※［＃「禾＋陸のつくり」、第4水準2-82-89］
U+07A15		稕	※［＃「禾＋享」、第4水準2-82-90］
U+07A1B		稛	※［＃「禾＋（菌－くさかんむり）」、第4水準2-82-91］
U+07A1E		稞	※［＃「禾＋果」、第4水準2-82-92］
U+07A21		稡	※［＃「禾＋卒」］
U+04163		䅣	※［＃「禾＋皇」、第4水準2-82-93］
U+07A27		稧	※［＃「禾＋挈」の「手」に代えて「大」］
U+07A2B		稫	※［＃「禾＋福のつくり」］
U+07A2D		稭	※［＃「禾＋皆」、第4水準2-82-94］
U+07A2F		稯	※［＃「禾＋椶のつくり」］
U+07A30		稰	※［＃「禾＋胥」］
U+07A4A		穊	※［＃「禾＋既」］
U+07A34		稴	※［＃「禾＋賺のつくり」］
U+07A35		稵	※［＃「禾＋茲」］
U+07A38		稸	※［＃「禾＋畜」、第4水準2-83-1］
U+07A39		稹	※［＃「禾＋眞」、第3水準1-89-46］
U+07A3A		稺	※［＃「禾＋（尸＋辛）」］
U+07A44		穄	※［＃「禾＋祭」］
U+07A45		穅	※［＃「禾＋康」］
U+07A47		穇	※［＃「禾＋參」、第4水準2-83-2］
U+07A48		穈	※［＃「麾」の「毛」に代えて「禾」］
U+07A4C		穌	※［＃「魚＋禾」、第4水準2-83-3］
U+25874		𥡴	※［＃「稽」の「ヒ」に代えて「上」］	→［包摂適用　稽］デザイン差
U+07A55		穕	※［＃「禾＋集」］
U+07A56		穖	※［＃「禾＋饑のつくり」、第4水準2-83-4］
U+07A59		穙	※［＃「禾＋僕のつくり」、第4水準2-83-5］
U+07A5C		穜	※［＃「禾＋童」、第4水準2-83-6］
U+07A5D		穝	※［＃「禾＋最」、第3水準1-89-47］
U+07A5F		穟	※［＃「燧」の「火」に代えて「禾」、第4水準2-83-7］
U+07A60		穠	※［＃「禾＋農」、第4水準2-83-8］
U+07A65		穥	※［＃「禾＋與」］
U+07A67		穧	※［＃「禾＋齊」、第4水準2-83-9］
U+07A6A		穪	※［＃「禾＋爾」、第4水準2-83-10］
U+07A6D		穭	※［＃「禾＋魯」、第3水準1-89-48］
U+07A75		穵	※［＃「穴かんむり／乙」、第4水準2-83-11］
U+07A78		穸	※［＃「穴かんむり／夕」、第4水準2-83-12］
U+07A7E		穾	※［＃「穴かんむり／夭」］
U+07A80		窀	※［＃「穴かんむり／屯」］
U+07A82		窂	※［＃「穴かんむり／牛」、第4水準2-83-13］
U+07A85		窅	※［＃「穴かんむり／目」、第3水準1-89-50］
U+07A86		窆	※［＃「穴かんむり／乏」］
U+07A8A		窊	※［＃「穴かんむり／瓜」、第4水準2-83-14］
U+07A8B		窋	※［＃「穴かんむり／出」］
U+25954		𥥔	※［＃「穴かんむり／石」］
U+07A90		窐	※［＃「穴かんむり／圭」、第4水準2-83-15］
U+07A91		窑	※［＃「穴かんむり／缶」］
U+07A94		窔	※［＃「穴かんむり／皎のつくり」］
U+07A9E		窞	※［＃「穴かんむり／陷のつくり」］
U+07AA0		窠	※［＃「穴かんむり／果」、第3水準1-89-51］
U+07AA3		窣	※［＃「穴かんむり／卒」、第4水準2-83-16］
U+07AAC		窬	※［＃「穴かんむり／兪」、第4水準2-83-17］
U+259C4		𥧄	※［＃「竃－土」、第3水準1-89-52］
U+07AB3		窳	※［＃「穴かんむり／（瓜＋瓜）」、第3水準1-89-53］
U+259D1		𥧑	※［＃「穴かんむり／眞」］
U+259D4		𥧔	※［＃「穴かんむり／氣」、第4水準2-83-18］
U+041B4		䆴	※［＃「穴かんむり／亀」、第4水準2-83-19］
U+07AB5		窵	※［＃「穴かんむり／鳥」］
U+07AB8		窸	※［＃「穴かんむり／悉」］
U+07AB9		窹	※［＃「寤」の「宀」に代えて「穴かんむり」、第4水準2-83-20］
U+07ABB		窻	※［＃「窗／心」、第3水準1-89-54］
U+07ABC		窼	※［＃「穴かんむり／樔のつくり」、第4水準2-83-21］
U+07ABE		窾	※［＃「穴かんむり／款」、第4水準2-83-22］
U+041BF		䆿	※［＃「穴かんむり／（爿＋自／木）」、第4水準2-83-23］
U+07AC6		竆	※［＃「窮」の「弓」に代えて「呂」］
U+07AC9		竉	※［＃「穴かんむり／龍」］
U+07ACC		竌	※［＃「立＋几」、第4水準2-83-24］
U+07ACE		竎	※［＃「立／廾」、第3水準1-89-55］
U+07AD1		竑	※［＃「立＋肱のつくり」、第4水準2-83-25］
U+07ADB		竛	※［＃「立＋令」］
U+07AE7		竧	※［＃「立＋身」、第4水準2-83-26］
U+07AE8		竨	※［＃「立＋卓」、第4水準2-83-27］
U+07AE9		竩	※［＃「立＋宜」］
U+07AEB		竫	※［＃「立＋爭」、第3水準1-89-56］
U+07AEC		竬	※［＃「立＋禹」］
U+07AF1		竱	※［＃「立＋專」］
U+07AF4		竴	※［＃「立＋墫のつくり」、第4水準2-83-28］
U+07AFB		竻	※［＃「竹かんむり／力」］
U+07AFD		竽	※［＃「竹かんむり／于」、第3水準1-89-57］
U+07AFE		竾	※［＃「竹かんむり／也」］
U+25AE3		𥫣	※［＃「竹かんむり／与」、第4水準2-83-30］
U+25AE4		𥫤	※［＃「竹かんむり／弓」、第4水準2-83-29］
U+25AEB		𥫫	※［＃「竹かんむり／下」］
U+07B07		笇	※［＃「竹かんむり／卞」、第4水準2-83-31］
U+07B12		笒	※［＃「竹かんむり／今」、第3水準1-89-58］
U+07B14		笔	※［＃「竹かんむり／毛」］
U+25AF1		𥫱	※［＃「竹かんむり／屯」、第4水準2-83-32］
U+041E6		䇦	※［＃「竹かんむり／央」、第4水準2-83-39］
U+07B1F		笟	※［＃「竹かんむり／瓜」］
U+07B23		笣	※［＃「竹かんむり／鉋のつくり」］
U+07B27		笧	※［＃「竹かんむり／冊」、第4水準2-83-34］
U+07B29		笩	※［＃「竹かんむり／代」］
U+07B2A		笪	※［＃「竹かんむり／旦」、第4水準2-83-35］
U+07B2B		笫	※［＃「竹かんむり／（「第－竹」の「コ」に代えて「ノ」）」］
U+07B2D		笭	※［＃「竹かんむり／令」、第3水準1-89-59］
U+07B2E		笮	※［＃「竹かんむり／乍」、第4水準2-83-36］
U+07B2F		笯	※［＃「竹かんむり／奴」、第4水準2-83-37］
U+07B30		笰	※［＃「竹かんむり／弗」］
U+07B31		笱	※［＃「竹かんむり／句」、第4水準2-83-38］
U+07B34		笴	※［＃「竹かんむり／可」］
U+07B3B		笻	※［＃「筑」の「凡」に代えて「卩」、第3水準1-89-60］
U+07B3D		笽	※［＃「竹かんむり／皿」、第4水準2-83-33］
U+2B079		𫁹	※［＃「竹／匝」］
U+041EE		䇮	※［＃「竹かんむり／任」、第4水準2-83-43］
U+041F3		䇳	※［＃「竹かんむり／銭のつくり」、第4水準2-83-40］
U+07B3F		笿	※［＃「竹かんむり／各」］
U+07B40		筀	※［＃「竹かんむり／圭」］
U+07B41		筁	※［＃「竹かんむり／曲」、第4水準2-83-42］
U+07B47		筇	※［＃「筑」の「凡」に代えて「おおざと」、第3水準1-89-61］
U+07B4E		筎	※［＃「竹かんむり／如」、第3水準1-89-62］
U+07B53		筓	※［＃「竹かんむり／幵」］	→［包摂適用　笄］
U+07B55		筕	※［＃「竹かんむり／行」、第4水準2-83-44］
U+041FF		䇿	※［＃「竹かんむり／束」］
U+07B60		筠	※［＃「竹かんむり／均」、第3水準1-89-63］
U+07B60		筠	※［＃「竹かんむり／（土へん＋鈞のつくり）」、第3水準1-89-63］
U+07B64		筤	※［＃「竹かんむり／良」、第4水準2-83-46］
U+07B66		筦	※［＃「竹かんむり／完」、第4水準2-83-47］
U+07B69		筩	※［＃「竹かんむり／甬」、第4水準2-83-48］
U+07B6A		筪	※［＃「竹かんむり／匣」］
U+07B6D		筭	※［＃「竹かんむり／弄」、第3水準1-89-64］
U+07B6F		筯	※［＃「竹かんむり／助」、第3水準1-89-65］
U+07B72		筲	※［＃「竹かんむり／悄のつくり」、第3水準1-89-66］
U+07B73		筳	※［＃「竹かんむり／梃のつくり」、第4水準2-83-49］
U+07B77		筷	※［＃「竹かんむり／快」］
U+07B79		筹	※［＃「竹かんむり／寿」、第4水準2-83-45］
U+07B7F		筿	※［＃「竹かんむり／条」、第4水準2-83-41］
U+04207		䈇	※［＃「竹かんむり／卓」、第4水準2-83-51］
U+07B84		箄	※［＃「竹かんむり／婢のつくり」］
U+07B89		箉	※［＃「竹かんむり／拐」の「刀」に代えて「万－一」］
U+07B8E		箎	※［＃「竹かんむり／虎」］
U+07B90		箐	※［＃「竹かんむり／睛のつくり」、第4水準2-83-52］
U+07B91		箑	※［＃「竹かんむり／捷のつくり」、第4水準2-83-53］
U+07B96		箖	※［＃「竹かんむり／林」］
U+07B9B		箛	※［＃「竹かんむり／孤」、第4水準2-83-54］
U+07B9E		箞	※［＃「竹かんむり／卷」、第3水準1-89-67］
U+07BA0		箠	※［＃「竹かんむり／垂」］
U+07BA5		箥	※［＃「竹かんむり／波」］
U+25B92		𥮒	※［＃「竹かんむり／沾」］
U+25BB2		𥮲	※［＃「竹かんむり／長」、第4水準2-83-50］
U+0420E		䈎	※［＃「竹かんむり／喋のつくり」、第4水準2-83-55］
U+04225		䈥	※［＃「たけかんむり／（角＋力）」］	→標準注記外
U+04225		䈥	※［＃「竹かんむり／（角＋力）」］
U+07BAC		箬	※［＃「竹かんむり／若」］
